"GEO_NAME","CHARACTERISTIC_ID","CHARACTERISTIC_NAME","C1_COUNT_TOTAL"
"A1C",390,"French",160
"A1C",391,"English and French",25
"A1C",392,"Neither English nor French",45
"A1C",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",12700
"A1C",394,"Single responses",12430
"A1C",395,"Official languages",11450
"A1C",396,"English",11300
"A1C",397,"French",145
"A1C",398,"Non-official languages",985
"A1E",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",26345
"A1E",384,"English only",24200
"A1E",385,"French only",10
"A1E",386,"English and French",2010
"A1E",387,"Neither English nor French",130
"A1E",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",26345
"A1E",389,"English",26080
"A1E",390,"French",125
"A1E",391,"English and French",20
"A1E",392,"Neither English nor French",120
"A1E",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",26345
"A1E",394,"Single responses",26055
"A1E",395,"Official languages",24945
"A1E",396,"English",24825
"A1E",397,"French",125
"A1E",398,"Non-official languages",1110
"A1G",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",5705
"A1G",384,"English only",5390
"A1G",385,"French only",0
"A1G",386,"English and French",305
"A1G",387,"Neither English nor French",10
"A1G",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",5705
"A1G",389,"English",5680
"A1G",390,"French",15
"A1G",391,"English and French",5
"A1G",392,"Neither English nor French",5
"A1G",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",5705
"A1G",394,"Single responses",5680
"A1G",395,"Official languages",5585
"A1G",396,"English",5570
"A1G",397,"French",15
"A1G",398,"Non-official languages",90
"A1H",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",6465
"A1H",384,"English only",5750
"A1H",385,"French only",0
"A1H",386,"English and French",710
"A1H",387,"Neither English nor French",0
"A1H",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",6465
"A1H",389,"English",6440
"A1H",390,"French",20
"A1H",391,"English and French",5
"A1H",392,"Neither English nor French",5
"A1H",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",6465
"A1H",394,"Single responses",6440
"A1H",395,"Official languages",6345
"A1H",396,"English",6325
"A1H",397,"French",20
"A1H",398,"Non-official languages",90
"A1K",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",12345
"A1K",384,"English only",11325
"A1K",385,"French only",5
"A1K",386,"English and French",1010
"A1K",387,"Neither English nor French",10
"A1K",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",12345
"A1K",389,"English",12280
"A1K",390,"French",50
"A1K",391,"English and French",10
"A1K",392,"Neither English nor French",5
"A1K",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",12345
"A1K",394,"Single responses",12265
"A1K",395,"Official languages",12130
"A1K",396,"English",12080
"A1K",397,"French",55
"A1K",398,"Non-official languages",135
"A1L",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",22960
"A1L",384,"English only",21120
"A1L",385,"French only",5
"A1L",386,"English and French",1805
"A1L",387,"Neither English nor French",25
"A1L",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",22960
"A1L",389,"English",22865
"A1L",390,"French",65
"A1L",391,"English and French",15
"A1L",392,"Neither English nor French",15
"A1L",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",22960
"A1L",394,"Single responses",22875
"A1L",395,"Official languages",22630
"A1L",396,"English",22560
"A1L",397,"French",70
"A1L",398,"Non-official languages",240
"A1M",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",8405
"A1M",384,"English only",7610
"A1M",385,"French only",0
"A1M",386,"English and French",785
"A1M",387,"Neither English nor French",10
"A1M",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",8405
"A1M",389,"English",8360
"A1M",390,"French",40
"A1M",391,"English and French",0
"A1M",392,"Neither English nor French",5
"A1M",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",8405
"A1M",394,"Single responses",8375
"A1M",395,"Official languages",8275
"A1M",396,"English",8235
"A1M",397,"French",40
"A1M",398,"Non-official languages",95
"A1N",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",22420
"A1N",384,"English only",21115
"A1N",385,"French only",0
"A1N",386,"English and French",1275
"A1N",387,"Neither English nor French",25
"A1N",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",22420
"A1N",389,"English",22335
"A1N",390,"French",60
"A1N",391,"English and French",5
"A1N",392,"Neither English nor French",20
"A1N",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",22420
"A1N",394,"Single responses",22300
"A1N",395,"Official languages",21985
"A1N",396,"English",21925
"A1N",397,"French",60
"A1N",398,"Non-official languages",310
"A1S",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",6075
"A1S",384,"English only",5755
"A1S",385,"French only",0
"A1S",386,"English and French",320
"A1S",387,"Neither English nor French",5
"A1S",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",6075
"A1S",389,"English",6065
"A1S",390,"French",10
"A1S",391,"English and French",0
"A1S",392,"Neither English nor French",0
"A1S",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",6075
"A1S",394,"Single responses",6055
"A1S",395,"Official languages",6025
"A1S",396,"English",6020
"A1S",397,"French",10
"A1S",398,"Non-official languages",20
"A1V",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",11775
"A1V",384,"English only",10900
"A1V",385,"French only",0
"A1V",386,"English and French",865
"A1V",387,"Neither English nor French",10
"A1V",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",11775
"A1V",389,"English",11695
"A1V",390,"French",65
"A1V",391,"English and French",15
"A1V",392,"Neither English nor French",10
"A1V",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",11775
"A1V",394,"Single responses",11690
"A1V",395,"Official languages",11435
"A1V",396,"English",11375
"A1V",397,"French",60
"A1V",398,"Non-official languages",260
"A1W",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",11160
"A1W",384,"English only",10260
"A1W",385,"French only",0
"A1W",386,"English and French",895
"A1W",387,"Neither English nor French",0
"A1W",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",11160
"A1W",389,"English",11120
"A1W",390,"French",30
"A1W",391,"English and French",0
"A1W",392,"Neither English nor French",5
"A1W",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",11160
"A1W",394,"Single responses",11110
"A1W",395,"Official languages",11010
"A1W",396,"English",10975
"A1W",397,"French",35
"A1W",398,"Non-official languages",100
"A1X",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15805
"A1X",384,"English only",14865
"A1X",385,"French only",0
"A1X",386,"English and French",935
"A1X",387,"Neither English nor French",15
"A1X",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",15805
"A1X",389,"English",15760
"A1X",390,"French",40
"A1X",391,"English and French",0
"A1X",392,"Neither English nor French",5
"A1X",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",15805
"A1X",394,"Single responses",15765
"A1X",395,"Official languages",15680
"A1X",396,"English",15635
"A1X",397,"French",45
"A1X",398,"Non-official languages",80
"A1Y",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",5305
"A1Y",384,"English only",5160
"A1Y",385,"French only",0
"A1Y",386,"English and French",140
"A1Y",387,"Neither English nor French",0
"A1Y",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",5305
"A1Y",389,"English",5290
"A1Y",390,"French",10
"A1Y",391,"English and French",0
"A1Y",392,"Neither English nor French",0
"A1Y",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",5305
"A1Y",394,"Single responses",5285
"A1Y",395,"Official languages",5235
"A1Y",396,"English",5225
"A1Y",397,"French",10
"A1Y",398,"Non-official languages",50
"A2A",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",9200
"A2A",384,"English only",8675
"A2A",385,"French only",0
"A2A",386,"English and French",510
"A2A",387,"Neither English nor French",15
"A2A",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",9200
"A2A",389,"English",9165
"A2A",390,"French",20
"A2A",391,"English and French",5
"A2A",392,"Neither English nor French",10
"A2A",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",9200
"A2A",394,"Single responses",9150
"A2A",395,"Official languages",8995
"A2A",396,"English",8980
"A2A",397,"French",25
"A2A",398,"Non-official languages",150
"A2B",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",4635
"A2B",384,"English only",4515
"A2B",385,"French only",0
"A2B",386,"English and French",125
"A2B",387,"Neither English nor French",0
"A2B",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",4635
"A2B",389,"English",4625
"A2B",390,"French",5
"A2B",391,"English and French",0
"A2B",392,"Neither English nor French",0
"A2B",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",4635
"A2B",394,"Single responses",4625
"A2B",395,"Official languages",4605
"A2B",396,"English",4595
"A2B",397,"French",5
"A2B",398,"Non-official languages",15
"A2H",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",24740
"A2H",384,"English only",23510
"A2H",385,"French only",5
"A2H",386,"English and French",1205
"A2H",387,"Neither English nor French",20
"A2H",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",24740
"A2H",389,"English",24625
"A2H",390,"French",80
"A2H",391,"English and French",20
"A2H",392,"Neither English nor French",20
"A2H",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",24740
"A2H",394,"Single responses",24610
"A2H",395,"Official languages",24180
"A2H",396,"English",24090
"A2H",397,"French",90
"A2H",398,"Non-official languages",425
"A2N",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",8360
"A2N",384,"English only",7845
"A2N",385,"French only",5
"A2N",386,"English and French",505
"A2N",387,"Neither English nor French",5
"A2N",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",8360
"A2N",389,"English",8290
"A2N",390,"French",65
"A2N",391,"English and French",0
"A2N",392,"Neither English nor French",5
"A2N",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",8360
"A2N",394,"Single responses",8310
"A2N",395,"Official languages",8210
"A2N",396,"English",8130
"A2N",397,"French",85
"A2N",398,"Non-official languages",95
"A2V",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",7440
"A2V",384,"English only",6510
"A2V",385,"French only",20
"A2V",386,"English and French",890
"A2V",387,"Neither English nor French",5
"A2V",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",7440
"A2V",389,"English",7220
"A2V",390,"French",190
"A2V",391,"English and French",15
"A2V",392,"Neither English nor French",10
"A2V",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",7440
"A2V",394,"Single responses",7315
"A2V",395,"Official languages",6920
"A2V",396,"English",6735
"A2V",397,"French",185
"A2V",398,"Non-official languages",395
"A5A",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",8285
"A5A",384,"English only",8005
"A5A",385,"French only",0
"A5A",386,"English and French",265
"A5A",387,"Neither English nor French",10
"A5A",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",8285
"A5A",389,"English",8265
"A5A",390,"French",10
"A5A",391,"English and French",0
"A5A",392,"Neither English nor French",5
"A5A",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",8285
"A5A",394,"Single responses",8260
"A5A",395,"Official languages",8185
"A5A",396,"English",8170
"A5A",397,"French",15
"A5A",398,"Non-official languages",70
"A8A",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",6475
"A8A",384,"English only",6370
"A8A",385,"French only",0
"A8A",386,"English and French",100
"A8A",387,"Neither English nor French",0
"A8A",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",6475
"A8A",389,"English",6460
"A8A",390,"French",15
"A8A",391,"English and French",0
"A8A",392,"Neither English nor French",0
"A8A",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",6475
"A8A",394,"Single responses",6455
"A8A",395,"Official languages",6405
"A8A",396,"English",6390
"A8A",397,"French",15
"A8A",398,"Non-official languages",55
"B0C",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2725
"B0C",384,"English only",2630
"B0C",385,"French only",0
"B0C",386,"English and French",90
"B0C",387,"Neither English nor French",10
"B0C",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2725
"B0C",389,"English",2690
"B0C",390,"French",30
"B0C",391,"English and French",0
"B0C",392,"Neither English nor French",0
"B0C",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2725
"B0C",394,"Single responses",2715
"B0C",395,"Official languages",2665
"B0C",396,"English",2640
"B0C",397,"French",25
"B0C",398,"Non-official languages",50
"B0E",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",25505
"B0E",384,"English only",20020
"B0E",385,"French only",60
"B0E",386,"English and French",5390
"B0E",387,"Neither English nor French",30
"B0E",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",25505
"B0E",389,"English",22225
"B0E",390,"French",3170
"B0E",391,"English and French",80
"B0E",392,"Neither English nor French",30
"B0E",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",25505
"B0E",394,"Single responses",24800
"B0E",395,"Official languages",23640
"B0E",396,"English",20360
"B0E",397,"French",3280
"B0E",398,"Non-official languages",1155
"B0H",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",9735
"B0H",384,"English only",9205
"B0H",385,"French only",0
"B0H",386,"English and French",525
"B0H",387,"Neither English nor French",5
"B0H",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",9735
"B0H",389,"English",9565
"B0H",390,"French",145
"B0H",391,"English and French",15
"B0H",392,"Neither English nor French",5
"B0H",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",9735
"B0H",394,"Single responses",9655
"B0H",395,"Official languages",9475
"B0H",396,"English",9270
"B0H",397,"French",195
"B0H",398,"Non-official languages",180
"B0J",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",40590
"B0J",384,"English only",37390
"B0J",385,"French only",35
"B0J",386,"English and French",3140
"B0J",387,"Neither English nor French",30
"B0J",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",40590
"B0J",389,"English",39845
"B0J",390,"French",655
"B0J",391,"English and French",60
"B0J",392,"Neither English nor French",25
"B0J",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",40590
"B0J",394,"Single responses",40270
"B0J",395,"Official languages",39385
"B0J",396,"English",38695
"B0J",397,"French",690
"B0J",398,"Non-official languages",890
"B0K",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",34580
"B0K",384,"English only",33155
"B0K",385,"French only",5
"B0K",386,"English and French",1410
"B0K",387,"Neither English nor French",15
"B0K",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",34580
"B0K",389,"English",34310
"B0K",390,"French",240
"B0K",391,"English and French",20
"B0K",392,"Neither English nor French",15
"B0K",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",34580
"B0K",394,"Single responses",34400
"B0K",395,"Official languages",33645
"B0K",396,"English",33385
"B0K",397,"French",260
"B0K",398,"Non-official languages",755
"B0L",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",2335
"B0L",384,"English only",2250
"B0L",385,"French only",0
"B0L",386,"English and French",90
"B0L",387,"Neither English nor French",0
"B0L",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",2335
"B0L",389,"English",2310
"B0L",390,"French",20
"B0L",391,"English and French",5
"B0L",392,"Neither English nor French",0
"B0L",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",2335
"B0L",394,"Single responses",2310
"B0L",395,"Official languages",2295
"B0L",396,"English",2280
"B0L",397,"French",25
"B0L",398,"Non-official languages",15
"B0M",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",16920
"B0M",384,"English only",16300
"B0M",385,"French only",0
"B0M",386,"English and French",590
"B0M",387,"Neither English nor French",25
"B0M",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",16920
"B0M",389,"English",16765
"B0M",390,"French",125
"B0M",391,"English and French",5
"B0M",392,"Neither English nor French",25
"B0M",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",16920
"B0M",394,"Single responses",16845
"B0M",395,"Official languages",16605
"B0M",396,"English",16465
"B0M",397,"French",140
"B0M",398,"Non-official languages",235
"B0N",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",40285
"B0N",384,"English only",38400
"B0N",385,"French only",0
"B0N",386,"English and French",1825
"B0N",387,"Neither English nor French",60
"B0N",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",40285
"B0N",389,"English",39830
"B0N",390,"French",375
"B0N",391,"English and French",25
"B0N",392,"Neither English nor French",60
"B0N",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",40285
"B0N",394,"Single responses",40025
"B0N",395,"Official languages",39115
"B0N",396,"English",38710
"B0N",397,"French",415
"B0N",398,"Non-official languages",905
"B0P",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",40985
"B0P",384,"English only",37755
"B0P",385,"French only",45
"B0P",386,"English and French",3125
"B0P",387,"Neither English nor French",60
"B0P",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",40985
"B0P",389,"English",39920
"B0P",390,"French",960
"B0P",391,"English and French",50
"B0P",392,"Neither English nor French",55
"B0P",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",40985
"B0P",394,"Single responses",40595
"B0P",395,"Official languages",39695
"B0P",396,"English",38725
"B0P",397,"French",965
"B0P",398,"Non-official languages",900
"B0R",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",6045
"B0R",384,"English only",5745
"B0R",385,"French only",0
"B0R",386,"English and French",290
"B0R",387,"Neither English nor French",10
"B0R",388,"Total - First official language spoken for the total population excluding institutional residents - 100% data",6045
"B0R",389,"English",5975
"B0R",390,"French",55
"B0R",391,"English and French",10
"B0R",392,"Neither English nor French",10
"B0R",393,"Total - Mother tongue for the total population excluding institutional residents - 100% data",6045
"B0R",394,"Single responses",6005
"B0R",395,"Official languages",5895
"B0R",396,"English",5830
"B0R",397,"French",65
"B0R",398,"Non-official languages",105
"B0S",383,"Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",17600
